Normalized,Hymn Number,Meter,Original,Easy Fix
"Gadsby, W",568,104TH,W. Gadsby,TRUE
"Gadsby, W",569,8S,W. Gadsby,TRUE
"Gadsby, W",570,C.M.,W. Gadsby,TRUE
"Gadsby, W",571,148TH,W. Gadsby,TRUE
"Gadsby, W",572,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",573,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",574,7.6.,W. Gadsby,TRUE
"Gadsby, W",575,7S,W. Gadsby,TRUE
"Gadsby, W",576,7S,W. Gadsby,TRUE
"Gadsby, W",577,11S,W. Gadsby,TRUE
"Gadsby, W",578,8S,W. Gadsby,TRUE
"Gadsby, W",579,C.M.,W. Gadsby,TRUE
"Gadsby, W",580,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",581,8S,W. Gadsby,TRUE
"Gadsby, W",582,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",583,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",584,7S,W. Gadsby,TRUE
"Gadsby, W",585,148TH,W. Gadsby,TRUE
"Gadsby, W",586,148TH,W. Gadsby,TRUE
"Gadsby, W",587,S.M.,W. Gadsby,TRUE
"Gadsby, W",588,C.M.,W. Gadsby,TRUE
"Gadsby, W",589,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",590,148TH,W. Gadsby,TRUE
"Gadsby, W",591,11.8.,W. Gadsby,TRUE
"Gadsby, W",592,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",593,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",594,7S,W. Gadsby,TRUE
"Gadsby, W",595,8S,W. Gadsby,TRUE
"Gadsby, W",596,C.M.,W. Gadsby,TRUE
"Gadsby, W",597,8S,W. Gadsby,TRUE
"Gadsby, W",598,148TH,W. Gadsby,TRUE
"Gadsby, W",599,148TH,W. Gadsby,TRUE
"Gadsby, W",600,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",601,S.M.,W. Gadsby,TRUE
"Gadsby, W",602,148TH,W. Gadsby,TRUE
"Gadsby, W",603,S.M.,W. Gadsby,TRUE
"Gadsby, W",604,C.M.,W. Gadsby,TRUE
"Gadsby, W",605,S.M.,W. Gadsby,TRUE
"Gadsby, W",606,S.M.,W. Gadsby,TRUE
"Gadsby, W",607,148TH,W. Gadsby,TRUE
"Gadsby, W",608,148TH,W. Gadsby,TRUE
"Gadsby, W",609,7S,W. Gadsby,TRUE
"Gadsby, W",610,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",611,7S,W. Gadsby,TRUE
"Gadsby, W",612,11S,W. Gadsby,TRUE
"Gadsby, W",613,148TH,W. Gadsby,TRUE
"Gadsby, W",614,S.M.,W. Gadsby,TRUE
"Gadsby, W",615,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",616,7S,W. Gadsby,TRUE
"Gadsby, W",617,148TH,W. Gadsby,TRUE
"Gadsby, W",618,148TH,W. Gadsby,TRUE
"Gadsby, W",619,7S,W. Gadsby,TRUE
"Gadsby, W",620,L.M.,W. Gadsby,TRUE
"Gadsby, W",621,L.M.,W. Gadsby,TRUE
"Gadsby, W",622,L.M.,W. Gadsby,TRUE
"Gadsby, W",623,7S,W. Gadsby,TRUE
"Gadsby, W",624,S.M.,W. Gadsby,TRUE
"Gadsby, W",625,L.M.,W. Gadsby,TRUE
"Gadsby, W",626,7S,W. Gadsby,TRUE
"Gadsby, W",627,8S,W. Gadsby,TRUE
"Gadsby, W",628,8S,W. Gadsby,TRUE
"Gadsby, W",629,148TH,W. Gadsby,TRUE
"Gadsby, W",630,148TH,W. Gadsby,TRUE
"Gadsby, W",631,C.M.,W. Gadsby,TRUE
"Gadsby, W",632,8S,W. Gadsby,TRUE
"Gadsby, W",633,L.M.,W. Gadsby,TRUE
"Gadsby, W",634,148TH,W. Gadsby,TRUE
"Gadsby, W",635,8S,W. Gadsby,TRUE
"Gadsby, W",636,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",637,C.M.,W. Gadsby,TRUE
"Gadsby, W",638,C.M.,W. Gadsby,TRUE
"Gadsby, W",639,104TH,W. Gadsby,TRUE
"Gadsby, W",640,7S,W. Gadsby,TRUE
"Gadsby, W",641,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",642,148TH,W. Gadsby,TRUE
"Gadsby, W",643,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",644,11S,W. Gadsby,TRUE
"Gadsby, W",645,7S,W. Gadsby,TRUE
"Gadsby, W",646,C.M.,W. Gadsby,TRUE
"Gadsby, W",647,8.8.6.,W. Gadsby,TRUE
"Gadsby, W",648,148TH,W. Gadsby,TRUE
"Gadsby, W",649,7S,W. Gadsby,TRUE
"Gadsby, W",650,7S,W. Gadsby,TRUE
"Gadsby, W",651,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",652,S.M.,W. Gadsby,TRUE
"Gadsby, W",653,S.M.,W. Gadsby,TRUE
"Gadsby, W",654,7S,W. Gadsby,TRUE
"Gadsby, W",655,L.M.,W. Gadsby,TRUE
"Gadsby, W",656,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",657,7S,W. Gadsby,TRUE
"Gadsby, W",658,7S,W. Gadsby,TRUE
"Gadsby, W",659,S.M.,W. Gadsby,TRUE
"Gadsby, W",660,C.M.,W. Gadsby,TRUE
"Gadsby, W",661,C.M.,W. Gadsby,TRUE
"Gadsby, W",662,7S,W. Gadsby,TRUE
"Gadsby, W",663,S.M.,W. Gadsby,TRUE
"Gadsby, W",664,C.M.,W. Gadsby,TRUE
"Gadsby, W",665,S.M.,W. Gadsby,TRUE
"Gadsby, W",666,148TH,W. Gadsby,TRUE
"Gadsby, W",667,10S,W. Gadsby,TRUE
"Gadsby, W",668,10S,W. Gadsby,TRUE
"Gadsby, W",669,10S,W. Gadsby,TRUE
"Gadsby, W",670,8S,W. Gadsby,TRUE
"Berridge, J",671,148TH,J. Berridge,TRUE
"Berridge, J",672,148TH,J. Berridge,TRUE
"Berridge, J",673,148TH,J. Berridge,TRUE
"Berridge, J",674,148TH,J. Berridge,TRUE
"Herbert, D",675,C.M.,D. Herbert,TRUE
"Herbert, D",676,C.M.,D. Herbert,TRUE
"Herbert, D",677,C.M.,D. Herbert,TRUE
"Herbert, D",678,C.M.,D. Herbert,TRUE
"Herbert, D",679,C.M.,D. Herbert,TRUE
"Herbert, D",680,C.M.,D. Herbert,TRUE
"Hart, J",681,L.M.,J. Hart,TRUE
"Gadsby, W",682,S.M.,W. Gadsby,TRUE
"Gadsby, W",683,S.M.,W. Gadsby,TRUE
"Berridge, J",684,C.M.,J. Berridge,TRUE
"Hart, J",685,C.M.,J. Hart,TRUE
"Berridge, J",686,7S,J. Berridge,TRUE
"Berridge, J",687,104TH,J. Berridge,TRUE
"Wesley, C",688,L.M.,C. Wesley,TRUE
"Swain, J",689,8.7.,J. Swain,TRUE
"Berridge, J",690,8.8.6.,J. Berridge,TRUE
"Newton, J",691,C.M.,J. Newton,TRUE
"Newton, J",692,L.M.,J. Newton,TRUE
"Gadsby, W",693,10S,W. Gadsby,TRUE
"Gadsby, W",694,8.7.,W. Gadsby,TRUE
"Gadsby, W",695,7S,W. Gadsby,TRUE
"Gadsby, W",696,148TH,W. Gadsby,TRUE
"Gadsby, W",697,8.7.,W. Gadsby,TRUE
"Gadsby, W",698,8.7.4.,W. Gadsby,TRUE
"Gadsby, W",699,10S,W. Gadsby,TRUE
"Gadsby, W",700,148TH,W. Gadsby,TRUE
"Gadsby, W",701,10S,W. Gadsby,TRUE
"Berridge, J",702,7S,J. Berridge,TRUE
"Gadsby, W",703,10S,W. Gadsby,TRUE
"Hart, J",704,7S,J. Hart,TRUE
"Berridge, J",705,112TH,J. Berridge,TRUE
"Hart, J",706,7S,J. Hart,TRUE
"Hart, J",707,L.M.,J. Hart,TRUE
"Hart, J",708,C.M.,J. Hart,TRUE
"Hart, J",709,C.M.,J. Hart,TRUE
"Berridge, J",710,104TH,J. Berridge,TRUE
"Herbert, D",711,L.M.,D. Herbert,TRUE
"Hart, J",712,L.M.,J. Hart,TRUE
"Gadsby, W",713,S.M.,W. Gadsby,TRUE
"Berridge, J",714,C.M.,J. Berridge,TRUE
"Hart, J",715,8.8.6.,J. Hart,TRUE
"Berridge, J",716,L.M.,J. Berridge,TRUE
"Hart, J",717,7.6.,J. Hart,TRUE
"Hart, J",718,L.M.,J. Hart,TRUE
"Hart, J",719,8.7.,J. Hart,TRUE
"Gadsby, W",720,7S,W. Gadsby,TRUE
"Swain, J",721,L.M.,J. Swain,TRUE
"Gadsby, W",722,7S,W. Gadsby,TRUE
"Hart, J",723,8.7.4.,J. Hart,TRUE
"Swain, J",724,8.8.6.,J. Swain,TRUE
"Gadsby, W",725,S.M.,W. Gadsby,TRUE
"Wesley, C",726,7S,C. Wesley,TRUE
"Watts, I",727,C.M.,I. Watts,TRUE
"Newton, J",728,112TH,J. Newton,TRUE
"Newton, J",729,S.M.,J. Newton,TRUE
"Perronet, E",730,C.M.,E. Perronet,TRUE
"Cowper, W",731,C.M.,W. Cowper,TRUE
"Kent, J",732,148TH,J. Kent,TRUE
"Beddome, B",733,S.M.,B. Beddome,TRUE
"Hart, J",734,C.M.,J. Hart,TRUE
"Irons, J",735,8.7.4.,J. Irons,TRUE
"Cole, C",736,L.M.,C. Cole,TRUE
"Hammond, W",737,7S,W. Hammond,TRUE
"Swain, J",738,L.M.,J. Swain,TRUE
"Berridge, J",739,S.M.,J. Berridge,TRUE
"Hart, J",740,L.M.,J. Hart,TRUE
"Batty, C",741,8.7.,C. Batty,TRUE
"Berridge, J",742,7S,J. Berridge,TRUE
"Berridge, J",743,C.M.,J. Berridge,TRUE
"Berridge, J",744,112TH,J. Berridge,TRUE
"Berridge, J",745,8.8.6.,J. Berridge,TRUE
"Hart, J",746,8.7.,J. Hart,TRUE
"Hart, J",747,C.M.,J. Hart,TRUE
"Berridge, J",748,L.M.,J. Berridge,TRUE
"Berridge, J",749,148TH,J. Berridge,TRUE
"Burder, G",750,C.M.,G. Burder,TRUE
"Medley, S",751,L.M.,S. Medley,TRUE
"Watts, I",752,L.M.,I. Watts,TRUE
"Kelly, T",753,8.7.4.,T. Kelly,TRUE
"Fowler, H",754,7S,H. Fowler,TRUE
"Gibbons, T",755,L.M.,T. Gibbons,TRUE
"Berridge, J",756,C.M.,J. Berridge,TRUE
"Kent, J",757,C.M.,J. Kent,TRUE
"Kent, J",758,8.7.4.,J. Kent,TRUE
"Kent, J",759,8.7.,J. Kent,TRUE
"Kent, J",760,8.7.4.,J. Kent,TRUE
"Watts, I",761,L.M.,I. Watts,TRUE
"Stennett, S",762,L.M.,S. Stennett,TRUE
"Watts, I",763,C.M.,I. Watts,TRUE
"Watts, I",764,C.M.,I. Watts,TRUE
"Berridge, J",765,C.M.,J. Berridge,TRUE
"Kent, J",766,8.7.4.,J. Kent,TRUE
"Stocker, J",767,7S,J. Stocker,TRUE
"Hammond, W",768,7S,W. Hammond,TRUE
"Fowler, H",769,8.7.4.,H. Fowler,TRUE
"Watts, I",770,S.M.,I. Watts,TRUE
"Burnham, R",771,L.M.,R. Burnham,TRUE
"Burnham, R",772,C.M.,R. Burnham,TRUE
"Hart, J",773,C.M.,J. Hart,TRUE
"Hart, J",774,C.M.,J. Hart,TRUE
"Hart, J",775,S.M.,J. Hart,TRUE
"Hart, J",776,8.7.,J. Hart,TRUE
"Hart, J",777,148TH,J. Hart,TRUE
"Hart, J",778,104TH,J. Hart,TRUE
"Hart, J",779,7.6.8.,J. Hart,TRUE
"Hart, J",780,7.6.,J. Hart,TRUE
"Hart, J",782,C.M.,J. Hart,TRUE
"Hart, J",783,C.M.,J. Hart,TRUE
"Hart, J",785,C.M.,J. Hart,TRUE
"Hart, J",786,8.8.6.,J. Hart,TRUE
"Hart, J",787,7.6.8.,J. Hart,TRUE
"Hart, J",788,7S,J. Hart,TRUE
"Hart, J",789,7S,J. Hart,TRUE
"Hart, J",790,112TH,J. Hart,TRUE
"Hart, J",791,L.M.,J. Hart,TRUE
"Hart, J",792,S.M.,J. Hart,TRUE
"Hart, J",794,L.M.,J. Hart,TRUE
"Hart, J",795,7.6.7.,J. Hart,TRUE
"Hart, J",796,7.6.7.,J. Hart,TRUE
"Hart, J",797,L.M.,J. Hart,TRUE
"Hart, J",798,7.6.8.,J. Hart,TRUE
"Hart, J",799,8.3.,J. Hart,TRUE
"Hart, J",800,8.3.,J. Hart,TRUE
"Hart, J",801,7.6.8.,J. Hart,TRUE
"Hart, J",802,7S,J. Hart,TRUE
"Hart, J",803,C.M.,J. Hart,TRUE
"Hart, J",804,104TH,J. Hart,TRUE
"Hart, J",805,C.M.,J. Hart,TRUE
"Hart, J",806,7.7.8.7.,J. Hart,TRUE
"Hart, J",807,8.8.8.,J. Hart,TRUE
"Hart, J",808,C.M.,J. Hart,TRUE
"Hart, J",809,C.M.,J. Hart,TRUE
"Hart, J",810,L.M.,J. Hart,TRUE
"Hart, J",811,S.M.,J. Hart,TRUE
"Hart, J",812,C.M.,J. Hart,TRUE
"Hart, J",814,P.M.,J. Hart,TRUE
"Hart, J",815,L.M.,J. Hart,TRUE
"Hart, J",816,C.M.,J. Hart,TRUE
"Hart, J",817,148TH,J. Hart,TRUE
"Hart, J",818,C.M.,J. Hart,TRUE
"Hart, J",820,S.M.,J. Hart,TRUE
"Hart, J",821,C.M.,J. Hart,TRUE
"Hart, J",822,C.M.,J. Hart,TRUE
"Hart, J",823,7.6.8.,J. Hart,TRUE
"Hart, J",824,L.M.,J. Hart,TRUE
"Hart, J",825,S.M.,J. Hart,TRUE
"Hart, J",826,8.7.,J. Hart,TRUE
"Hart, J",827,7.6.,J. Hart,TRUE
"Hart, J",828,C.M.,J. Hart,TRUE
"Hart, J",829,C.M.,J. Hart,TRUE
"Hart, J",830,7S,J. Hart,TRUE
"Hart, J",831,S.M.,J. Hart,TRUE
"Hart, J",832,S.M.,J. Hart,TRUE
"Hart, J",833,S.M.,J. Hart,TRUE
"Hart, J",834,C.M.,J. Hart,TRUE
"Hart, J",835,112TH,J. Hart,TRUE
"Hart, J",836,L.M.,J. Hart,TRUE
"Hart, J",837,L.M.,J. Hart,TRUE
"Hart, J",838,L.M.,J. Hart,TRUE
"Hart, J",842,S.M.,J. Hart,TRUE
"Hart, J",843,7.6.8.,J. Hart,TRUE
"Hart, J",844,L.M.,J. Hart,TRUE
"Hart, J",845,C.M.,J. Hart,TRUE
"Hart, J",847,S.M.,J. Hart,TRUE
"Hart, J",850,C.M.,J. Hart,TRUE
"Hart, J",851,C.M.,J. Hart,TRUE
"Hart, J",852,S.M.,J. Hart,TRUE
"Hart, J",853,7.5.,J. Hart,TRUE
"Hart, J",854,7.6.8.,J. Hart,TRUE
"Hart, J",855,C.M.,J. Hart,TRUE
"Hart, J",856,C.M.,J. Hart,TRUE
"Hart, J",857,7S,J. Hart,TRUE
"Hart, J",858,L.M.,J. Hart,TRUE
"Hart, J",860,C.M.,J. Hart,TRUE
"Hart, J",861,C.M.,J. Hart,TRUE
"Hart, J",862,C.M.,J. Hart,TRUE
"Hart, J",863,S.M.,J. Hart,TRUE
"Hart, J",864,8.7.,J. Hart,TRUE
"Hart, J",865,7.6.7.,J. Hart,TRUE
"Hart, J",866,7.6.8.,J. Hart,TRUE
"Hart, J",867,C.M.,J. Hart,TRUE
"Hart, J",868,L.M.,J. Hart,TRUE
"Hart, J",869,104TH,J. Hart,TRUE
"Hart, J",870,C.M.,J. Hart,TRUE
"Hart, J",871,C.M.,J. Hart,TRUE
"Hart, J",872,S.M.,J. Hart,TRUE
"Hart, J",873,L.M.,J. Hart,TRUE
"Hart, J",874,7S,J. Hart,TRUE
"Hart, J",875,L.M.,J. Hart,TRUE
"Hart, J",876,8.8.7.,J. Hart,TRUE
"Hart, J",878,S.M.,J. Hart,TRUE
"Hart, J",880,S.M.,J. Hart,TRUE
"Hart, J",882,L.M.,J. Hart,TRUE
"Berridge, J",883,148TH,J. Berridge,TRUE
"Berridge, J",884,148TH,J. Berridge,TRUE
"Berridge, J",885,148TH,J. Berridge,TRUE
"Berridge, J",886,148TH,J. Berridge,TRUE
"Berridge, J",887,148TH,J. Berridge,TRUE
"Berridge, J",888,148TH,J. Berridge,TRUE
"Berridge, J",889,148TH,J. Berridge,TRUE
"Berridge, J",890,S.M.,J. Berridge,TRUE
"Berridge, J",891,S.M.,J. Berridge,TRUE
"Berridge, J",892,C.M.,J. Berridge,TRUE
"Berridge, J",893,C.M.,J. Berridge,TRUE
"Berridge, J",894,C.M.,J. Berridge,TRUE
"Berridge, J",895,7S,J. Berridge,TRUE
"Berridge, J",896,L.M.,J. Berridge,TRUE
"Berridge, J",897,L.M.,J. Berridge,TRUE
"Berridge, J",898,112TH,J. Berridge,TRUE
"Berridge, J",899,112TH,J. Berridge,TRUE
"Berridge, J",900,112TH,J. Berridge,TRUE
"Berridge, J",901,112TH,J. Berridge,TRUE
Anonymous,902,8.8.6.,(Author Unknown),FALSE
Anonymous,903,8.8.6.,(Author Unknown),FALSE
"Berridge, J",904,8.8.6.,J. Berridge,TRUE
"Berridge, J",905,8.8.6.,J. Berridge,TRUE
"Berridge, J",906,104TH,J. Berridge,TRUE
"Berridge, J",907,104TH,J. Berridge,TRUE
"Kent, J",908,L.M.,J. Kent,TRUE
"Kent, J",909,S.M.,J. Kent,TRUE
"Kent, J",910,L.M.,J. Kent,TRUE
"Kent, J",911,L.M.,J. Kent,TRUE
"Kent, J",912,104TH,J. Kent,TRUE
"Kent, J",913,8.7.,J. Kent,TRUE
"Kent, J",914,C.M.,J. Kent,TRUE
"Kent, J",915,L.M.,J. Kent,TRUE
"Kent, J",916,8.7.4.,J. Kent,TRUE
"Kent, J",917,8.8.6.,J. Kent,TRUE
"Kent, J",918,8.7.4.,J. Kent,TRUE
"Kelly, T",919,L.M.,T. Kelly,TRUE
"Kent, J",920,8.7.4.,J. Kent,TRUE
"Kent, J",921,S.M.,J. Kent,TRUE
"Kent, J",922,S.M.,J. Kent,TRUE
"Kent, J",923,C.M.,J. Kent,TRUE
"Kent, J",924,L.M.,J. Kent,TRUE
"Kent, J",925,L.M.,J. Kent,TRUE
"Kent, J",926,L.M.,J. Kent,TRUE
"Steele, A",927,L.M.,A. Steele,TRUE
"Wesley, C",928,8.8.6.,C. Wesley,TRUE
"Hammond, W",929,C.M.,W. Hammond,TRUE
"Kent, J",930,C.M.,J. Kent,TRUE
"Bakewell, J",931,8.7.,J. Bakewell,TRUE
"Kelly, T",932,8.7.4.,T. Kelly,TRUE
"Newton, J",933,C.M.,J. Newton,TRUE
Bromehead’s Collection,934,C.M.,Bromehead’s Collection,FALSE
"Watts, I",935,L.M.,I. Watts,TRUE
"Tate, N",936,C.M.,N.Tate & N.Brady,FALSE
"Brady, N",936,C.M.,N.Tate & N.Brady,FALSE
Anonymous,937,L.M.,(Author Unknown),FALSE
"Lady Huntingdon’s Col.,",938,8.8.6.,"Lady Huntingdon’s Col.,",FALSE
"Toplady, A M",939,C.M.,A. M. Toplady,TRUE
"Toplady, A M",940,C.M.,A. M. Toplady,TRUE
"Medley, S",941,L.M.,S. Medley,TRUE
"Gospel Mag., 1777",942,L.M.,"Gospel Mag., 1777",FALSE
"Horne, W W",943,L.M.,W. W. Horne,TRUE
"Hill, R",944,7S,R. Hill,TRUE
"Hoskins, J",945,L.M.,J. Hoskins,TRUE
"Watts, I",946,C.M.,I. Watts,TRUE
"Beddome, B",947,148TH,B. Beddome,TRUE
Matlock’s Selection,948,S.M.,Matlock’s Selection,FALSE
"Kelly, T",949,L.M.,T. Kelly,TRUE
"Batty, W",950,C.M.,W. Batty,TRUE
"Swain, J",951,C.M.,J. Swain,TRUE
"Allen, J",952,L.M.,J. Allen,TRUE
"Hoskins, J",953,C.M.,J. Hoskins,TRUE
"Fowler, H",954,L.M.,H. Fowler,TRUE
"Wesley, C",955,112TH,C. Wesley,TRUE
"Newton, J",956,7S,J. Newton,TRUE
"Steele, A",957,L.M.,A. Steele,TRUE
"Cowper, W",958,C.M.,W. Cowper,TRUE
"Newton, J",959,C.M.,J. Newton,TRUE
"Newton, J",960,L.M.,J. Newton,TRUE
"Newton, J",961,L.M.,J. Newton,TRUE
"Steele, A",962,8.8.6.,A. Steele,TRUE
"Gospel Mag., 1781",963,7S,"Gospel Mag., 1781",FALSE
"Serle, A",964,7S,A. Serle,TRUE
"Gospel Mag., 1781",965,8.7.,"Gospel Mag., 1781",FALSE
"Newton, J",966,C.M.,J. Newton,TRUE
"Cowper, W",967,L.M.,W. Cowper,TRUE
"Cowper, W",968,7S,W. Cowper,TRUE
"Cowper, W",969,L.M.,W. Cowper,TRUE
Anonymous,970,7S,(Author Unknown),FALSE
"Lyte, H F",971,8.7.,H. F. Lyte,TRUE
"Kelly, T",972,8.7.4.,T. Kelly,TRUE
"Newton, J",973,7S,J. Newton,TRUE
"Kelly, T",974,L.M.,T. Kelly,TRUE
"Kelly, T",975,C.M.,T. Kelly,TRUE
"Burnham, R",976,8.7.,R. Burnham,TRUE
"Steele, A",977,L.M.,A. Steele,TRUE
"Medley, S",978,L.M.,S. Medley,TRUE
"Medley, S",979,L.M.,S. Medley,TRUE
"Steele, A",980,L.M.,A. Steele,TRUE
Dobell’s Selection,981,L.M.,Dobell’s Selection,FALSE
"Kelly, T",982,8.7.4.,T. Kelly,TRUE
"Wesley, C",983,S.M.,C. Wesley,TRUE
"Cole, C",984,L.M.,C. Cole,TRUE
"Cennick, J",985,112TH,J. Cennick,TRUE
"Herbert, D",986,C.M.,D. Herbert,TRUE
"Medley, S",987,C.M.,S. Medley,TRUE
"Toplady, A M",988,7S,A. M. Toplady,TRUE
"Spiritual Mag., 1790",989,C.M.,"Spiritual Mag., 1790",FALSE
"Burnham, R",990,7S,R. Burnham,TRUE
"Toplady, A M",991,L.M.,A. M. Toplady,TRUE
"Kelly, T",992,L.M.,T. Kelly,TRUE
"Grant, J",993,11S,J. Grant,TRUE
"Kent, J",994,S.M.,J. Kent,TRUE
"Kelly, T",995,S.M.,T. Kelly,TRUE
"Medley, S",996,L.M.,S. Medley,TRUE
"Burnham, R",997,C.M.,R. Burnham,TRUE
"Hammond, W",998,104TH,W. Hammond,TRUE
"Newton, J",999,C.M.,J. Newton,TRUE
"Wingrove, J",1000,104TH,J. Wingrove,TRUE
"Newton, J",1001,L.M.,J. Newton,TRUE
"Montgomery, J",1002,C.M.,J. Montgomery,TRUE
"Watts, I",1003,C.M.,I. Watts,TRUE
"Watts, I",1004,L.M.,I. Watts,TRUE
"Watts, I",1005,C.M.,I. Watts,TRUE
"Watts, I",1006,L.M.,I. Watts,TRUE
"Watts, I",1007,L.M.,I. Watts,TRUE
Lock Chapel Collection,1008,L.M.,Lock Chapel Collection,FALSE
Anonymous,1009,C.M.,(Author Unknown),FALSE
"Steele, A",1010,C.M.,A. Steele,TRUE
"Watts, I",1011,C.M.,I. Watts,TRUE
"Kelly, T",1012,S.M.,T. Kelly,TRUE
"Kelly, T",1013,C.M.,T. Kelly,TRUE
"Kelly, T",1014,8.7.4.,T. Kelly,TRUE
"Watts, I",1015,S.M.,I. Watts,TRUE
"Wesley, C",1016,L.M.,C. Wesley,TRUE
"Newton, J",1017,L.M.,J. Newton,TRUE
"Toplady, A M",1018,L.M.,A. M. Toplady,TRUE
"Wesley, C",1019,L.M.,C. Wesley,TRUE
"Newton, J",1020,C.M.,J. Newton,TRUE
"Kelly, T",1021,L.M.,T. Kelly,TRUE
"Watts, I",1022,C.M.,I. Watts,TRUE
"Cowper, W",1023,L.M.,W. Cowper,TRUE
"Wesley, C",1024,C.M.,C. Wesley,TRUE
"Newton, J",1025,C.M.,J. Newton,TRUE
"Fowler, H",1026,148TH,H. Fowler,TRUE
"Fowler, H",1027,C.M.,H. Fowler,TRUE
"Fowler, H",1028,L.M.,H. Fowler,TRUE
"Fowler, H",1029,S.M.,H. Fowler,TRUE
"Fowler, H",1030,C.M.,H. Fowler,TRUE
"Fowler, H",1031,7S,H. Fowler,TRUE
"Fowler, H",1032,S.M.,H. Fowler,TRUE
"Fowler, H",1033,11S,H. Fowler,TRUE
"Fowler, H",1034,L.M.,H. Fowler,TRUE
"Fowler, H",1035,S.M.,H. Fowler,TRUE
"Fowler, H",1036,L.M.,H. Fowler,TRUE
"Fowler, H",1037,7S,H. Fowler,TRUE
"Fowler, H",1038,8.7.4.,H. Fowler,TRUE
"Steele, A",1039,C.M.,A. Steele,TRUE
"Kelly, T",1040,8.7.7.,T. Kelly,TRUE
"Kelly, T",1041,L.M.,T. Kelly,TRUE
"Kelly, T",1042,L.M.,T. Kelly,TRUE
"Kelly, T",1043,L.M.,T. Kelly,TRUE
"Kent, J",1044,7S,J. Kent,TRUE
"Kelly, T",1045,7S,T. Kelly,TRUE
"Kelly, T",1046,L.M.,T. Kelly,TRUE
"Kelly, T",1047,C.M.,T. Kelly,TRUE
"Kelly, T",1048,L.M.,T. Kelly,TRUE
"Kelly, T",1049,L.M.,T. Kelly,TRUE
"Wesley, C",1050,S.M.,C. Wesley,TRUE
"Steele, A",1051,C.M.,A. Steele,TRUE
"Toplady, A M",1052,112TH,A. M. Toplady,TRUE
"Wesley, C",1053,8.7.,C. Wesley,TRUE
"Wesley, C",1054,8.7.,C. Wesley,TRUE
"Swain, J",1055,8.7.4.,J. Swain,TRUE
"Medley, S",1056,L.M.,S. Medley,TRUE
"Wesley, C",1057,8.7.,C. Wesley,TRUE
Madan’s Selection,1058,7S,Madan’s Selection,FALSE
"Wesley, C",1059,S.M.,C. Wesley,TRUE
"Wesley, C",1060,112TH,C. Wesley,TRUE
"Wesley, C",1061,C.M.,C. Wesley,TRUE
"Kelly, T",1062,7S,T. Kelly,TRUE
"Kelly, T",1063,8.7.7.,T. Kelly,TRUE
"Watts, I",1064,C.M.,I. Watts,TRUE
"Haweis, T",1065,C.M.,T. Haweis,TRUE
"Doddridge, P",1066,C.M.,P. Doddridge,TRUE
"Toplady, A M",1067,S.M.,A. M. Toplady,TRUE
"Turner, D",1068,8.7.,D. Turner,TRUE
"Steele, A",1069,C.M.,A. Steele,TRUE
"Hill, R",1070,112TH,R. Hill,TRUE
"Wesley, C",1071,7S,C. Wesley,TRUE
"Toplady, A M",1072,C.M.,C. Wesley & A. M. Toplady,FALSE
"Wesley, C",1072,C.M.,C. Wesley & A. M. Toplady,FALSE
"Toplady, A M",1073,8.7.,A. M. Toplady (from the German),FALSE
"Wesley, C",1074,L.M.,C. Wesley,TRUE
"Tersteegen, G",1075,112TH,"G. Tersteegen, translated by J. Wesley",FALSE
"Wesley, C",1076,L.M.,C. Wesley,TRUE
"Wesley, C",1077,7S,C. Wesley,TRUE
"Steele, A",1078,L.M.,A. Steele,TRUE
"Steele, A",1079,C.M.,A. Steele,TRUE
"Steele, A",1080,L.M.,A. Steele,TRUE
"Steele, A",1081,L.M.,A. Steele,TRUE
"Swain, J",1082,C.M.,J. Swain,TRUE
"Steele, A",1083,C.M.,A. Steele,TRUE
"Steele, A",1084,L.M.,A. Steele,TRUE
"Steele, A",1085,L.M.,A. Steele,TRUE
"Steele, A",1086,C.M.,A. Steele,TRUE
"Steele, A",1087,L.M.,A. Steele,TRUE
"Wesley, C",1088,C.M.,C. Wesley,TRUE
"Kent, J",1089,C.M.,J. Kent,TRUE
"Kent, J",1090,L.M.,J. Kent,TRUE
"Kent, J",1091,L.M.,J. Kent,TRUE
"Kent, J",1092,C.M.,J. Kent,TRUE
"Kent, J",1093,C.M.,J. Kent,TRUE
"Kent, J",1094,C.M.,J. Kent,TRUE
"Watts, I",1095,C.M.,I. Watts,TRUE
"Burnham, R",1096,8.7.,R. Burnham,TRUE
"Kent, J",1097,11S,J. Kent,TRUE
"Watts, I",1098,C.M.,I. Watts,TRUE
